Type,Question
what role did,"What role did Ashley Park play in 2017's KPOP, and what theatre was that play at?"
which three players,Which three players were tied for the lead at 215 (-4) and which player came in the position behind them?
how many seasons,"How many seasons of JAG was there, and how many overall episodes?"
who was rosario,Who was Rosario Robles and who came before him?
which league and,2. Which league and club did Wang Ho play for in the 2013 season?
what race did,"What race did Andy González run at the 2006 World Junior Championships, what position did he place and what time did he run?"
what was the,"What was the average viewership of the second series of Matilda and the Ramsay Bunch, and how much lower was that than the first series?"
what countries was,"What countries was Logia Pou Kaine released in on 5 December 2016, and what label released it?"
which team was,"Which team was Bill Raftery the head coach of, from 1970 to 1981, and what was his overall record?"
what episode of,"What episode of The Tomorrow People did Connie Booth play a role in, and what year did it come out?"
how many points,"How many points did Chris Hill and Kelvin Tolbert average per game during the season, and how many rebounds per game did each have?"
what was cherrelle,"What was Cherrelle's Number 1 R&B single in 1988, and what album was the song on?"
what were the,"What were the fourth and fifth tracks on the album, and who did DiCaprio 2 collaborate with on the fourth track?"
what club did,"What club did Yasumasa Nishino play for in 2011, and what country and league was the team in?"
what teams did,"What teams did Justin Fletcher play for in the AHL, and how many regular-season games did he play in that league?"
how much memory,"How much memory space does the TI MSP432 allow, and what is its floating point?"
what position and,"What position and score did Denny Shute achieve, and how many strokes was Wood ahead of him?"
what is orchestra,"What is Orchestra Hall, and where is it located?"
what was the,What was the score of the victory against the Faroe Islands on 22nd March 2013 and how many goals did Hosiner score in the match?
what are normani,"What are Normani Kordei and David Ross known for, who were their partners, and what place did each finish?"
what clubs did,"What clubs did Matty Dixon play for during the 2016-17 and 2017-18 seasons, and what league was each club in?"
how many generations,"How many generations of the B234 engine are there, and what years were each generation made?"
where were the,"Where were the 2004 and 2008 Olympic Games held, and what position did Liz Yelling finish in both Olympics?"
which league and,Which league and club did David Lowe play for in 1991-92 and which other club was he also on loan to?
in what year did,"In what year did Brenda Flores compete at the IAAF Continental Cup, and what place did she finish in the 5,000 meters?"
what were the,"What were the first two singles Ice MC released in 1990, and what album were the songs on?"
what two years,"What two years did Pete Pfitzinger run the San Francisco Marathon, and what place did he finish in those races?"
in what year did,"In what year did Daniel Brière score 163 points, and what was his point total from the previous year?"
in what series did,"In what series did Annette Crosbie play Queen Victoria, and what year did the series come out?"
who was the,"Who was the top scorer for the Rangers between 1921 and 1925, and how many goals did that person score in the 1924-25 season?"
who won the,"Who won the 1950 election, and what was the majority margin of victory?"
what party won,"What party won the 1975 Austrian legislative election, and how many seats did they earn out of a possible 183?"
what programming does,"What programming does KUPT-LD broadcast on subchannel 16.1 in aspec 16:9, and what is the PSIP Short Name?"
who won the,"Who won the 1956 Taunton by-election, what party did he represent, and what was the majority margin of victory?"
who was sir,Who was Sir Charles Burnett and when did he become CAS?
in what year did,"In what year did Kabir Duhan Singh make his Tamil debut, and what film was it in?"
which six clubs,"Which six clubs have won the TT Pro League title, and how many have they won each?"
